Icon	 Iconset	 Path	Notes
/128x128/actions/store-noimage.png	 Crystal Clear	/128x128/apps/warehouse.png	
/128x128/actions/user-anonymous.png	Very Emotional Emoticons	1374712918_128 (21).png	
/64x64/actions/user-anonymous.png	Very Emotional Emoticons	1374713254_64 (21).png	
/48x48/actions/login-facebook.png	Free Social Icons Set 	/48/social_facebook_box_blue_48.png	
/48x48/actions/login-google.png	Free Social Icons Set 	/48/social_google_box_blue_48.png	
/48x48/actions/login-yahoo.png	Free Social Icons Set 	/48/social_yahoo_box_lilac_48.png	
/32x32/actions/gamelibrary-create-publication.png	 Crystal Clear	 /32x32/apps/package.png	
/32x32/actions/gamelibrary-delete-publication.png	 Crystal Clear	 /32x32/actions/editdelete.png	
/32x32/actions/gamelibrary-edit-publication.png	 Crystal Clear	 /32x32/actions/edit.png	
/32x32/actions/gamelibrary-attach-book.png	 Crystal Clear	 /32x32/apps/kaddressbook.png	
/32x32/actions/gamelibrary-edit-details.png	 Crystal Clear	 /32x32/actions/playlist.png	
/32x32/actions/gamelibrary-add-images.png	 Crystal Clear	 /32x32/devices/camera.png	
/32x32/actions/gamelibrary-publish-publication.png	 Crystal Clear	 /32x32/actions/forward.png	
/32x32/actions/gamelibrary-unpublish-publication.png	 Crystal Clear	 /32x32/actions/exit.png	
/22x22/places/forge.png			
/22x22/places/forum.png			
/22x22/places/illusion.png			
/22x22/places/illusion_gray.png			Coverted to grayscale
/22x22/places/index.png			
/22x22/places/store.png			
/22x22/places/store_gray.png			Coverted to grayscale
/22x22/actions/store-cart.png			
/22x22/actions/store-categories.png			
/22x22/actions/store-recent-publications.png			
